"row_id","uid","num_taxa","num_trees","tree_depth","num_reps","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","LM_num_resolved_quartets","LM_num_partly_resolved_quartets","LM_num_unresolved_quartets","LM_total_num_quartets","LM_proportion_resolved_quartets","sCF_mean","sCF_median","sCF_min","sCF_max","NetworkTreelikenessTest","mean_delta_plot_value","mean_Q_residual","mean_TIGER_value","Cunningham_test","tree_proportion","input_alignment_path"
28618,"exp1_00020_0010_018_1",10,20,1,18,"JC",NA,10000,"DNA",246,4,0,250,0.984,38,37.74,34.69,42.85,"Treelike",0.507075518347243,0.0055839,1,0.982599333365133,0.486185281699605,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_018_1/exp1_00020_0010_018_1_output_alignment.fa"
1431,"exp1_00020_0010_019_1",10,20,1,19,"JC",NA,10000,"DNA",246,4,0,250,0.984,38.4,38.03,34,42.02,"Non-treelike",0.470382204525743,0.0037071,1,0.984551576307131,0.5673639159776,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_019_1/exp1_00020_0010_019_1_output_alignment.fa"
28620,"exp1_00020_0010_020_1",10,20,1,20,"JC",NA,10000,"DNA",248,2,0,250,0.992,41.07,40.01,36.36,48.91,"Treelike",0.405441663267494,0.0048046,1,0.987862298738473,0.620740072203844,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_020_1/exp1_00020_0010_020_1_output_alignment.fa"
28701,"exp1_00020_0020_001_1",20,20,1,1,"JC",NA,10000,"DNA",496,4,0,500,0.992,40.09,38.29,33.16,52.57,"Treelike",0.466542199193814,0.0052408,1,0.971373570233627,0.531409935460614,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_001_1/exp1_00020_0020_001_1_output_alignment.fa"
28702,"exp1_00020_0020_002_1",20,20,1,2,"JC",NA,10000,"DNA",489,10,1,500,0.978,39.83,40.39,34.92,47.17,"Treelike",0.496644803865421,0.00517615,1,0.970788831176107,0.567781511675537,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_002_1/exp1_00020_0020_002_1_output_alignment.fa"
28703,"exp1_00020_0020_003_1",20,20,1,3,"JC",NA,10000,"DNA",490,10,0,500,0.98,38.36,38.09,32.45,46.34,"Treelike",0.481942677588697,0.00407655,1,0.971285979257447,0.557242178835219,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_003_1/exp1_00020_0020_003_1_output_alignment.fa"
28704,"exp1_00020_0020_004_1",20,20,1,4,"JC",NA,10000,"DNA",492,7,1,500,0.984,39.14,37.57,32.9,58.38,"Treelike",0.480887909651165,0.00517455,1,0.966359841662926,0.691297171616089,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_004_1/exp1_00020_0020_004_1_output_alignment.fa"
28705,"exp1_00020_0020_005_1",20,20,1,5,"JC",NA,10000,"DNA",494,6,0,500,0.988,38.54,38.15,32.01,44.98,"Treelike",0.467430397884143,0.00361995,1,0.973956202106931,0.505948352370292,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_005_1/exp1_00020_0020_005_1_output_alignment.fa"
28706,"exp1_00020_0020_006_1",20,20,1,6,"JC",NA,10000,"DNA",494,5,1,500,0.988,37.28,36.8,31.67,43.85,"Treelike",0.477418928864278,0.00449005,1,0.968588634591383,0.550753308279394,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_006_1/exp1_00020_0020_006_1_output_alignment.fa"
28707,"exp1_00020_0020_007_1",20,20,1,7,"JC",NA,10000,"DNA",495,5,0,500,0.99,39.73,38.41,32.25,48.47,"Treelike",0.475929919850121,0.0045458,1,0.97167841391154,0.531894856806693,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_007_1/exp1_00020_0020_007_1_output_alignment.fa"
28708,"exp1_00020_0020_008_1",20,20,1,8,"JC",NA,10000,"DNA",493,7,0,500,0.986,38.81,37.63,32.73,48.12,"Treelike",0.479451053364379,0.00458265,1,0.975266453275267,0.48207662875146,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_008_1/exp1_00020_0020_008_1_output_alignment.fa"
28709,"exp1_00020_0020_009_1",20,20,1,9,"JC",NA,10000,"DNA",484,16,0,500,0.968,38.64,37.31,33.96,51.14,"Treelike",0.494110598328138,0.00479595,1,0.97016349355975,0.54193553023529,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0020_009_1/exp1_00020_0020_009_1_output_alignment.fa"
