"","unique_id","LM_num_resolved_quartets","LM_num_partly_resolved_quartets","LM_num_unresolved_quartets","LM_total_num_quartets","LM_proportion_resolved_quartets","sCF_mean","sCF_median","sCF_min","sCF_max","NetworkTreelikenessTest","mean_delta_plot_value","Cunningham_test","tree_proportion","input_alignment_path"
"23","WEA17_BS_rep_29",1780,32,88,1900,0.936842105263158,47.48,46.5,14.9,88,"Non-treelike",0.17449798200608,0.998075549609393,0.837732561828157,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_29/WEA17_BS_rep_29.fa"
"24","WEA17_BS_rep_3",1744,34,122,1900,0.917894736842105,47.41,46.4,15,87.9,"Non-treelike",0.179384555985891,0.998036557306542,0.83986167579334,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_3/WEA17_BS_rep_3.fa"
"25","WEA17_BS_rep_30",1749,33,118,1900,0.920526315789474,47.39,46.7,14.7,88.6,"Treelike",0.171342645745896,0.997925211974962,0.865937733111749,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_30/WEA17_BS_rep_30.fa"
"26","WEA17_BS_rep_31",1747,42,111,1900,0.919473684210526,47.41,46.9,14.7,87.8,"Non-treelike",0.175569072424894,0.997814774489644,0.839080650757927,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_31/WEA17_BS_rep_31.fa"
"27","WEA17_BS_rep_32",1746,33,121,1900,0.918947368421053,47.36,47,15.4,87.8,"Treelike",0.170824725099924,0.998368548374199,0.858180228183028,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_32/WEA17_BS_rep_32.fa"
"28","WEA17_BS_rep_33",1755,37,108,1900,0.923684210526316,47.54,46.5,15.3,88,"Treelike",0.171427660329664,0.99834470453739,0.853581531729879,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_33/WEA17_BS_rep_33.fa"
"29","WEA17_BS_rep_34",1746,24,130,1900,0.918947368421053,47.6,46.5,14.9,88.3,"Treelike",0.174032424357973,0.998075854866299,0.852042541221399,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_34/WEA17_BS_rep_34.fa"
"30","WEA17_BS_rep_35",1770,28,102,1900,0.931578947368421,47.56,46.7,15.2,87.8,"Treelike",0.181389322339196,0.997995276822358,0.84393794753187,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_35/WEA17_BS_rep_35.fa"
"31","WEA17_BS_rep_36",1748,38,114,1900,0.92,47.45,46.6,15,87.9,"Treelike",0.171221735734334,0.997893002493228,0.862494979664309,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_36/WEA17_BS_rep_36.fa"
"32","WEA17_BS_rep_37",1744,35,121,1900,0.917894736842105,47.5,46.7,14.9,88.2,"Treelike",0.181479198346607,0.997683707646449,0.850655291165896,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_37/WEA17_BS_rep_37.fa"
