"row_id","uid","num_taxa","num_trees","tree_depth","recombination_value","recombination_type","num_reps","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","LM_num_resolved_quartets","LM_num_partly_resolved_quartets","LM_num_unresolved_quartets","LM_total_num_quartets","LM_proportion_resolved_quartets","sCF_mean","sCF_median","sCF_min","sCF_max","NetworkTreelikenessTest","mean_delta_plot_value","mean_Q_residual","mean_TIGER_value","Cunningham_test","tree_proportion","input_alignment_path"
33,"exp2_00250_0100_003_0.1_0_Ancient",100,250,0.1,0,"Ancient",3,"JC",NA,250000,"DNA","2499","1","0","2500","0.9996",35.3,34.93,32.44,51.67,"Treelike",0.451527925234138,0.00151805,"no_TIGER_run",0.85104883710617,0.556635528943664,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_003_0.1_0_Ancient/exp2_00250_0100_003_0.1_0_Ancient_output_alignment.fa"
34,"exp2_00250_0100_004_0.1_0_Ancient",100,250,0.1,0,"Ancient",4,"JC",NA,250000,"DNA","2497","3","0","2500","0.9988",35.13,34.83,32.84,48.52,"Non-treelike",0.344069840164855,0.00138423,"no_TIGER_run",0.85102219643479,0.570242188921424,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_004_0.1_0_Ancient/exp2_00250_0100_004_0.1_0_Ancient_output_alignment.fa"
35,"exp2_00250_0100_005_0.1_0_Ancient",100,250,0.1,0,"Ancient",5,"JC",NA,250000,"DNA","2499","1","0","2500","0.9996",35.21,34.88,31.45,47.19,"Treelike",0.440886890154228,0.00142378,"no_TIGER_run",0.867523429633285,0.567589797055407,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_005_0.1_0_Ancient/exp2_00250_0100_005_0.1_0_Ancient_output_alignment.fa"
36,"exp2_00250_0100_006_0.1_0_Ancient",100,250,0.1,0,"Ancient",6,"JC",NA,250000,"DNA","2498","2","0","2500","0.9992",35.07,34.79,31.24,43.98,"Non-treelike",0.341086180516147,0.00122686,"no_TIGER_run",0.864380081855644,0.53341199538126,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_006_0.1_0_Ancient/exp2_00250_0100_006_0.1_0_Ancient_output_alignment.fa"
37,"exp2_00250_0100_007_0.1_0_Ancient",100,250,0.1,0,"Ancient",7,"JC",NA,250000,"DNA","2499","1","0","2500","0.9996",35.13,34.89,32.39,47.32,"Non-treelike",0.344981910283762,0.00126577,"no_TIGER_run",0.850361355742376,0.58146845961377,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_007_0.1_0_Ancient/exp2_00250_0100_007_0.1_0_Ancient_output_alignment.fa"
38,"exp2_00250_0100_008_0.1_0_Ancient",100,250,0.1,0,"Ancient",8,"JC",NA,250000,"DNA","2497","3","0","2500","0.9988",35.12,34.85,33.07,52.44,"Treelike",0.367545994080565,0.00122026,"no_TIGER_run",0.833306079154799,0.556904537809797,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_008_0.1_0_Ancient/exp2_00250_0100_008_0.1_0_Ancient_output_alignment.fa"
39,"exp2_00250_0100_009_0.1_0_Ancient",100,250,0.1,0,"Ancient",9,"JC",NA,250000,"DNA","2500","0","0","2500","1",35.35,34.98,32.75,42.53,"Treelike",0.401984855430915,0.00129401,"no_TIGER_run",0.862866435943291,0.566810028964181,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_009_0.1_0_Ancient/exp2_00250_0100_009_0.1_0_Ancient_output_alignment.fa"
40,"exp2_00250_0100_010_0.1_0_Ancient",100,250,0.1,0,"Ancient",10,"JC",NA,250000,"DNA","2500","0","0","2500","1",35.01,35.01,32.19,38.98,"Treelike",0.488580973426395,0.00160953,"no_TIGER_run",0.860613286043115,0.529972061600209,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_010_0.1_0_Ancient/exp2_00250_0100_010_0.1_0_Ancient_output_alignment.fa"
41,"exp2_00250_0010_001_1_0_Ancient",10,250,1,0,"Ancient",1,"JC",NA,250000,"DNA","249","1","0","250","0.996",41.8,37.65,34.53,56.39,"Non-treelike",0.146795057760034,9.57e-05,"no_TIGER_run",0.99872038048,0.914427590533652,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_001_1_0_Ancient/exp2_00250_0010_001_1_0_Ancient_output_alignment.fa"
42,"exp2_00250_0010_002_1_0_Ancient",10,250,1,0,"Ancient",2,"JC",NA,250000,"DNA","242","8","0","250","0.968",45.79,42.32,34.04,68.4,"Non-treelike",0.133237694324111,6.34e-05,"no_TIGER_run",0.999267500504536,0.96119759783824,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_002_1_0_Ancient/exp2_00250_0010_002_1_0_Ancient_output_alignment.fa"
