"uid","tree_proportion"
"exp1_00010_0050_005_1e-04","0.73906590298675"
"exp1_00010_0050_006_1e-04","0.651148939728904"
"exp1_00010_0050_007_1e-04","0.57282040036968"
"exp1_00010_0050_008_1e-04","0.804861812280806"
"exp1_00010_0050_009_1e-04","0.666533679803475"
"exp1_00010_0050_010_1e-04","0.792629768134225"
"exp1_00010_0100_001_1e-04","0.616401611068712"
"exp1_00010_0100_002_1e-04","0.547823949194204"
"exp1_00010_0100_003_1e-04","0.595223733835539"
"exp1_00010_0100_004_1e-04","0.647876166429299"
"exp1_00010_0100_005_1e-04","0.668327882374318"
"exp1_00010_0100_006_1e-04","0.653539275798835"
"exp1_00010_0100_007_1e-04","0.651229490615974"
"exp1_00010_0100_008_1e-04","0.649556599153448"
"exp1_00010_0100_009_1e-04","0.67000740164192"
"exp1_00010_0100_010_1e-04","0.643984513629896"
"exp1_00016_0005_001_1e-04","1"
"exp1_00016_0005_002_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00016_0005_003_1e-04","0.666666666666667"
"exp1_00016_0005_004_1e-04","0.5"
"exp1_00016_0005_005_1e-04","1"
"exp1_00016_0005_006_1e-04","0.5"
"exp1_00016_0005_007_1e-04","1"
"exp1_00016_0005_008_1e-04","0.666666666666667"
"exp1_00016_0005_009_1e-04","1"
"exp1_00016_0005_010_1e-04","1"
"exp1_00016_0010_001_1e-04","0.838420088288329"
"exp1_00016_0010_002_1e-04","0.5"
"exp1_00016_0010_003_1e-04","0.666666666666667"
"exp1_00016_0010_004_1e-04","1"
"exp1_00016_0010_005_1e-04","0.674420778502452"
"exp1_00016_0010_006_1e-04","0.931536691188486"
"exp1_00016_0010_007_1e-04","1"
"exp1_00016_0010_008_1e-04","0.714285714285714"
"exp1_00016_0010_009_1e-04","1"
"exp1_00016_0010_010_1e-04","0.5"
"exp1_00016_0020_001_1e-04","0.768788606765483"
"exp1_00016_0020_002_1e-04","1"
"exp1_00016_0020_003_1e-04","0.609827498481164"
"exp1_00016_0020_004_1e-04","0.333333333333333"
"exp1_00016_0020_005_1e-04","0.639288438148219"
"exp1_00016_0020_006_1e-04","0.586751253193181"
"exp1_00016_0020_007_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00016_0020_008_1e-04","0.582073611526664"
"exp1_00016_0020_009_1e-04","0.584971397959942"
"exp1_00016_0020_010_1e-04","0.75"
"exp1_00016_0050_001_1e-04","0.806677368529235"
"exp1_00016_0050_002_1e-04","0.807163564630915"
"exp1_00016_0050_003_1e-04","0.658290401507672"
"exp1_00016_0050_004_1e-04","0.692442304091242"
"exp1_00016_0050_005_1e-04","0.550628718127799"
"exp1_00016_0050_006_1e-04","0.670990745151357"
"exp1_00016_0050_007_1e-04","0.64092676698431"
"exp1_00016_0050_008_1e-04","0.485038214484537"
"exp1_00016_0050_009_1e-04","0.649712862536403"
"exp1_00016_0050_010_1e-04","0.703481567015773"
"exp1_00016_0100_001_1e-04","0.639338172562115"
"exp1_00016_0100_002_1e-04","0.635002634891286"
"exp1_00016_0100_003_1e-04","0.68617939791066"
"exp1_00016_0100_004_1e-04","0.658037827015116"
"exp1_00016_0100_005_1e-04","0.653352892646294"
"exp1_00016_0100_006_1e-04","0.655552198832841"
"exp1_00016_0100_007_1e-04","0.654062056937379"
"exp1_00016_0100_008_1e-04","0.68016941035903"
"exp1_00016_0100_009_1e-04","0.6909405786434"
"exp1_00016_0100_010_1e-04","0.612595060540848"
"exp1_00020_0005_001_1e-04","1"
"exp1_00020_0005_002_1e-04","1"
"exp1_00020_0005_003_1e-04","0.5"
"exp1_00020_0005_004_1e-04","0.833333333333333"
"exp1_00020_0005_005_1e-04","1"
"exp1_00020_0005_006_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00020_0005_007_1e-04","0.833333333333333"
"exp1_00020_0005_008_1e-04","1"
"exp1_00020_0005_009_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00020_0005_010_1e-04","1"
"exp1_00020_0010_001_1e-04","0.606986662392538"
"exp1_00020_0010_002_1e-04","0.5"
"exp1_00020_0010_003_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00020_0010_004_1e-04","0.888888888888889"
"exp1_00020_0010_005_1e-04","1"
"exp1_00020_0010_006_1e-04","0.5"
"exp1_00020_0010_007_1e-04","0.5"
"exp1_00020_0010_008_1e-04","1"
"exp1_00020_0010_009_1e-04","0.554725206709443"
"exp1_00020_0010_010_1e-04","0.676778157660974"
"exp1_00020_0020_001_1e-04","0.618581706671246"
"exp1_00020_0020_002_1e-04","0.609942644897614"
"exp1_00020_0020_003_1e-04","0.6"
"exp1_00020_0020_004_1e-04","0.579952770608435"
"exp1_00020_0020_005_1e-04","0.516890671338246"
"exp1_00020_0020_006_1e-04","0.666666666666667"
"exp1_00020_0020_007_1e-04","0.6"
"exp1_00020_0020_008_1e-04","0.651038400733186"
"exp1_00020_0020_009_1e-04","0.55931092957316"
"exp1_00020_0020_010_1e-04","0.676807451966158"
"exp1_00020_0050_001_1e-04","0.533532522447589"
"exp1_00020_0050_002_1e-04","0.558579588114857"
"exp1_00020_0050_003_1e-04","0.557877779476635"
"exp1_00020_0050_004_1e-04","0.673291241162263"
"exp1_00020_0050_005_1e-04","0.600511443966694"
"exp1_00020_0050_006_1e-04","0.602160415410439"
"exp1_00020_0050_007_1e-04","0.607765603975118"
"exp1_00020_0050_008_1e-04","0.618757773941642"
"exp1_00020_0050_009_1e-04","0.618290070256194"
"exp1_00020_0050_010_1e-04","0.665846503211079"
"exp1_00020_0100_001_1e-04","0.609834655111207"
"exp1_00020_0100_002_1e-04","0.677030118339738"
"exp1_00020_0100_003_1e-04","0.631339387351601"
"exp1_00020_0100_004_1e-04","0.592912859864025"
"exp1_00020_0100_005_1e-04","0.688234119166047"
"exp1_00020_0100_006_1e-04","0.648612986553166"
"exp1_00020_0100_007_1e-04","0.583101667375068"
"exp1_00020_0100_008_1e-04","0.70568509189171"
"exp1_00020_0100_009_1e-04","0.581548244279613"
"exp1_00020_0100_010_1e-04","0.691324111189638"
"exp1_00025_0005_001_1e-04","1"
"exp1_00025_0005_002_1e-04","1"
"exp1_00025_0005_003_1e-04","1"
"exp1_00025_0005_004_1e-04","0.5"
