"row_id","num_reps","num_taxa","num_trees","tree_depth","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","tree_file","partition_file","output_alignment_file","identical_sequences_present","number_unique_taxa","NetworkTreelikenessTest","network_num_splits","network_num_trivial_splits","network_num_nontrivial_splits","confidence_network_num_splits","confidence_network_num_trivial_splits","confidence_network_num_nontrivial_splits","tree_num_splits","tree_num_trivial_splits","tree_num_nontrivial_splits"
1104,4,100,2,1,"expA2_00002_0100_004_1_20kbp","JC",NA,20000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_004_1_20kbp/expA2_00002_0100_004_1_20kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_004_1_20kbp/expA2_00002_0100_004_1_20kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_004_1_20kbp/expA2_00002_0100_004_1_20kbp_output_alignment.fa",FALSE,100,"Non-treelike",2314,100,2214,228,100,128,197,100,97
2104,4,100,2,1,"expA2_00002_0100_004_1_30kbp","JC",NA,30000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_004_1_30kbp/expA2_00002_0100_004_1_30kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_004_1_30kbp/expA2_00002_0100_004_1_30kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_004_1_30kbp/expA2_00002_0100_004_1_30kbp_output_alignment.fa",FALSE,100,"Non-treelike",6899,100,6799,157,100,57,197,100,97
105,5,100,2,1,"expA2_00002_0100_005_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_005_1_10kbp/expA2_00002_0100_005_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_005_1_10kbp/expA2_00002_0100_005_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_005_1_10kbp/expA2_00002_0100_005_1_10kbp_output_alignment.fa",FALSE,100,"Non-treelike",6152,100,6052,172,100,72,197,100,97
1105,5,100,2,1,"expA2_00002_0100_005_1_20kbp","JC",NA,20000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_005_1_20kbp/expA2_00002_0100_005_1_20kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_005_1_20kbp/expA2_00002_0100_005_1_20kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_005_1_20kbp/expA2_00002_0100_005_1_20kbp_output_alignment.fa",FALSE,100,"Non-treelike",1716,100,1616,218,100,118,197,100,97
2105,5,100,2,1,"expA2_00002_0100_005_1_30kbp","JC",NA,30000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_005_1_30kbp/expA2_00002_0100_005_1_30kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_005_1_30kbp/expA2_00002_0100_005_1_30kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_005_1_30kbp/expA2_00002_0100_005_1_30kbp_output_alignment.fa",FALSE,100,"Non-treelike",6477,100,6377,170,100,70,197,100,97
106,6,100,2,1,"expA2_00002_0100_006_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_006_1_10kbp/expA2_00002_0100_006_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_006_1_10kbp/expA2_00002_0100_006_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_006_1_10kbp/expA2_00002_0100_006_1_10kbp_output_alignment.fa",FALSE,100,"Non-treelike",5703,100,5603,179,100,79,197,100,97
1106,6,100,2,1,"expA2_00002_0100_006_1_20kbp","JC",NA,20000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_006_1_20kbp/expA2_00002_0100_006_1_20kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_006_1_20kbp/expA2_00002_0100_006_1_20kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_006_1_20kbp/expA2_00002_0100_006_1_20kbp_output_alignment.fa",FALSE,100,"Non-treelike",3234,100,3134,187,100,87,197,100,97
2106,6,100,2,1,"expA2_00002_0100_006_1_30kbp","JC",NA,30000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_006_1_30kbp/expA2_00002_0100_006_1_30kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_006_1_30kbp/expA2_00002_0100_006_1_30kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_006_1_30kbp/expA2_00002_0100_006_1_30kbp_output_alignment.fa",FALSE,100,"Non-treelike",2130,100,2030,239,100,139,197,100,97
107,7,100,2,1,"expA2_00002_0100_007_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_007_1_10kbp/expA2_00002_0100_007_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_007_1_10kbp/expA2_00002_0100_007_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_007_1_10kbp/expA2_00002_0100_007_1_10kbp_output_alignment.fa",FALSE,100,"Non-treelike",2000,100,1900,211,100,111,197,100,97
1107,7,100,2,1,"expA2_00002_0100_007_1_20kbp","JC",NA,20000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_007_1_20kbp/expA2_00002_0100_007_1_20kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_007_1_20kbp/expA2_00002_0100_007_1_20kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_007_1_20kbp/expA2_00002_0100_007_1_20kbp_output_alignment.fa",FALSE,100,"Non-treelike",3474,100,3374,200,100,100,197,100,97
