"","row_id","num_reps","num_taxa","num_trees","tree_depth","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","tree_file","partition_file","output_alignment_file"
"34",34,34,100,1,1,"expA2_00001_0100_034_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_034_1_10kbp/expA2_00001_0100_034_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_034_1_10kbp/expA2_00001_0100_034_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_034_1_10kbp/expA2_00001_0100_034_1_10kbp_output_alignment.fa"
"35",35,35,100,1,1,"expA2_00001_0100_035_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_035_1_10kbp/expA2_00001_0100_035_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_035_1_10kbp/expA2_00001_0100_035_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_035_1_10kbp/expA2_00001_0100_035_1_10kbp_output_alignment.fa"
"36",36,36,100,1,1,"expA2_00001_0100_036_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_036_1_10kbp/expA2_00001_0100_036_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_036_1_10kbp/expA2_00001_0100_036_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_036_1_10kbp/expA2_00001_0100_036_1_10kbp_output_alignment.fa"
"37",37,37,100,1,1,"expA2_00001_0100_037_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_037_1_10kbp/expA2_00001_0100_037_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_037_1_10kbp/expA2_00001_0100_037_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_037_1_10kbp/expA2_00001_0100_037_1_10kbp_output_alignment.fa"
"38",38,38,100,1,1,"expA2_00001_0100_038_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_038_1_10kbp/expA2_00001_0100_038_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_038_1_10kbp/expA2_00001_0100_038_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_038_1_10kbp/expA2_00001_0100_038_1_10kbp_output_alignment.fa"
"39",39,39,100,1,1,"expA2_00001_0100_039_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_039_1_10kbp/expA2_00001_0100_039_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_039_1_10kbp/expA2_00001_0100_039_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_039_1_10kbp/expA2_00001_0100_039_1_10kbp_output_alignment.fa"
"40",40,40,100,1,1,"expA2_00001_0100_040_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_040_1_10kbp/expA2_00001_0100_040_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_040_1_10kbp/expA2_00001_0100_040_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_040_1_10kbp/expA2_00001_0100_040_1_10kbp_output_alignment.fa"
"41",41,41,100,1,1,"expA2_00001_0100_041_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_041_1_10kbp/expA2_00001_0100_041_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_041_1_10kbp/expA2_00001_0100_041_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_041_1_10kbp/expA2_00001_0100_041_1_10kbp_output_alignment.fa"
"42",42,42,100,1,1,"expA2_00001_0100_042_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_042_1_10kbp/expA2_00001_0100_042_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_042_1_10kbp/expA2_00001_0100_042_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_042_1_10kbp/expA2_00001_0100_042_1_10kbp_output_alignment.fa"
"43",43,43,100,1,1,"expA2_00001_0100_043_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_043_1_10kbp/expA2_00001_0100_043_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_043_1_10kbp/expA2_00001_0100_043_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_043_1_10kbp/expA2_00001_0100_043_1_10kbp_output_alignment.fa"
